AggressionTestID,ID,ColourID,ID_Series,SiteID,NestID,Year2,Year,Sex,NestStage,RawMinDis,MinDis,Date,TravelMode,NestApproach,Observer,NestVisibleDistance,NumberAdultsPresent,NumberOfEggs,NumberOfChicks,ClutchSize,JulianLay,JulianHatch,LayDate,HatchDate,NumberHatched,Fledged,NumberFledged,JulianTestDay
198,43H,43H,43HMale2018,51,51,0,2018,Male,3Provisioning,-98,-98,8/5/2018,Quad,Above,Erik,2,0,0,1,4,,197,,7/16/2018,3,1,1,217
214,43H,43H,43HMale2018,51,51,0,2018,Male,3Provisioning,-98,-98,7/31/2018,Quad,Above,Erik,2,1,0,3,4,,197,,7/16/2018,3,1,1,212
232,43H,43H,43HMale2018,51,51,0,2018,Male,3Provisioning,-98,-98,8/10/2018,Boat,Below,Erik,1,2,0,1,4,,197,,7/16/2018,3,1,1,222
111,57Male,,57Male2018,57,57,0,2018,Male,2Incubating,-98,-98,7/9/2018,Quad,Above,Matthew,1,1,3,0,3,162,198,6/11/2018,7/17/2018,2,1,2,190
125,57Male,,57Male2018,57,57,0,2018,Male,2Incubating,-98,-98,7/14/2018,Quad,Above,Matthew,2,1,3,0,3,162,198,6/11/2018,7/17/2018,2,1,2,195
113,58Male,,58Male2018,58,58,0,2018,Male,2Incubating,-98,-98,7/9/2018,Quad,Above,Matthew,5,0,3,0,3,163,,6/12/2018,,,0,0,190
155,58Male,,58Male2018,58,58,0,2018,Male,2Incubating,-98,-98,7/20/2018,Quad,Below,Silu,6,2,3,0,3,163,,6/12/2018,,,0,0,201
189,58Male,,58Male2018,58,58,0,2018,Male,2Incubating,-98,-98,7/26/2018,Quad,Below,Erik,3,1,3,0,3,163,,6/12/2018,,,0,0,207
112,89C,89C,89CFemale2018,58,58,0,2018,Female,2Incubating,-98,-98,7/9/2018,Quad,Above,Erik,5,0,3,0,3,163,,6/12/2018,,,0,0,190
290,214Male,,58Male2019,58,214,1,2019,Male,2Incubating,-98,-98,6/21/2019,Quad,Below,Nick,2,1,4,0,4,,199,,7/18/2019,2,0,0,172
374,217Male,,61Male2019,61,217,1,2019,Male,2Incubating,-98,-98,7/14/2019,Quad,Above,Nick,2,1,3,0,3,,199,,7/18/2019,3,0,0,195
421,217Male,,61Male2019,61,217,1,2019,Male,3Provisioning,-98,-98,7/23/2019,Quad,Above,Erik,2,1,0,1,3,,199,,7/18/2019,3,0,0,204
451,217Male,,61Male2019,61,217,1,2019,Male,3Provisioning,-98,-98,7/31/2019,Quad,Above,Nick,2,1,0,1,3,,199,,7/18/2019,3,0,0,212
39,03M,03M,03MMale2018,74,74,0,2018,Male,1Laying,-98,-98,6/13/2018,Snowmobile,Above,Kevin,5,1,4,0,4,156,,6/5/2018,,,0,0,164
60,92H,92H,92HMale2018,75,75,0,2018,Male,2Incubating,-98,-98,6/21/2018,Quad,Above,Silu,5,1,4,0,4,157,193,6/6/2018,7/12/2018,2,1,1,172
238,38A,38A,38AMale2018,77,77,0,2018,Male,3Provisioning,-98,-98,8/9/2018,Quad,Above,Erik,2,1,0,1,3,166,198,6/15/2018,7/17/2018,3,1,1,221
177,78Male,,78Male2018,78,78,0,2018,Male,3Provisioning,-98,-98,7/24/2018,Boat,Side,Erik,2,1,0,2,3,160,199,6/9/2018,7/18/2018,2,1,2,205
200,78Male,,78Male2018,78,78,0,2018,Male,3Provisioning,-98,-98,8/5/2018,Quad,Above,Erik,3,1,0,2,3,160,199,6/9/2018,7/18/2018,2,1,2,217
217,78Male,,78Male2018,78,78,0,2018,Male,3Provisioning,-98,-98,7/31/2018,Quad,Above,Erik,5,1,0,2,3,160,199,6/9/2018,7/18/2018,2,1,2,212
236,78Male,,78Male2018,78,78,0,2018,Male,3Provisioning,-98,-98,8/9/2018,Quad,Above,Erik,5,1,0,2,3,160,199,6/9/2018,7/18/2018,2,1,2,221
422,234Male,,78Male2019,78,234,1,2019,Male,2Incubating,-98,-98,7/24/2019,Quad,Above,Nick,2,1,2,0,3,,,,,0,0,0,205
32,00M,00M,00MMale2018,80,80,0,2018,Male,1Laying,-98,-98,6/12/2018,Snowmobile,Below,Silu,15,1,2,0,4,161,197,6/10/2018,7/16/2018,3,0,0,163
135,00M,00M,00MMale2018,80,80,0,2018,Male,3Provisioning,-98,-98,7/17/2018,Boat,Above,Erik,15,1,1,3,4,161,197,6/10/2018,7/16/2018,3,0,0,198
173,00M,00M,00MMale2018,80,80,0,2018,Male,3Provisioning,-98,-98,7/24/2018,Boat,Above,Erik,5,1,0,3,4,161,197,6/10/2018,7/16/2018,3,0,0,205
309,236Male,,80Male2019,80,236,1,2019,Male,2Incubating,-98,-98,6/18/2019,Snowmobile,Above,Erik,5,1,4,0,4,,,,,0,0,0,169
234,97Male,,97Male2018,97,97,0,2018,Male,3Provisioning,-98,-98,8/10/2018,Boat,Below,Erik,2,1,0,2,4,161,196,6/10/2018,7/15/2018,3,1,2,222
248,97Male,,97Male2018,97,97,0,2018,Male,3Provisioning,-98,-98,8/6/2018,Boat,Below,Erik,2,1,0,2,4,161,196,6/10/2018,7/15/2018,3,1,2,218
66,98Male,,98Male2018,98,98,0,2018,Male,2Incubating,-98,-98,6/24/2018,Quad,Below,Silu,3,1,3,0,3,,,,,,0,0,175
364,254Male,,98Male2019,98,254,1,2019,Male,2Incubating,-98,-98,7/10/2019,Quad,Side,Nick,3,1,4,0,4,,201,,7/20/2019,1,0,0,191
318,256Male,,100Male2019,100,256,1,2019,Male,1Laying,-98,-98,6/21/2019,Quad,Above,Nick,3,1,3,0,3,,,,,0,0,0,172
321,32K,32K,32KFemale2019,105,261,1,2019,Female,2Incubating,-98,-98,6/20/2019,Quad,Side,Rebekah,2,1,4,0,4,159,195,6/8/2019,7/14/2019,3,0,0,171
427,32K,32K,32KFemale2019,105,261,1,2019,Female,3Provisioning,-98,-98,7/25/2019,Boat,Below,Nick,2,0,1,3,4,159,195,6/8/2019,7/14/2019,3,0,0,206
320,43H,43H,43HMale2019,105,261,1,2019,Male,2Incubating,-98,-98,6/20/2019,Quad,Side,Rebekah,2,1,4,0,4,159,195,6/8/2019,7/14/2019,3,0,0,171
